City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Butaritari,KI,83.26,light rain,3.0707,172.7902,Isles Sunset Lodge
5,Paragominas,BR,84.25,clear sky,-2.9667,-47.4833,INOVA
7,Sao Paulo De Olivenca,BR,76.5,few clouds,-3.3783,-68.8725,
8,Caravelas,BR,79.47,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
9,Bengkulu,ID,78.6,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
12,Hithadhoo,MV,82.69,scattered clouds,-0.6,73.0833,Scoop Guest House
14,Saldanha,ZA,75.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
15,Luwuk,ID,77.16,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
16,Namatanai,PG,78.89,light rain,-3.6667,152.4333,Seagulls Inn Namatani
17,Atuona,PF,77.7,few clouds,-9.8,-139.0333,Villa Enata
18,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Miastko,PL,79.52,clear sky,54.0028,16.9826,Agro-Vita. Gospodarstwo agroturystyczne. Kapłan L.
24,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
27,Ahuimanu,US,78.51,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
29,Bredasdorp,ZA,76.32,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
33,Cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
43,Sterling,US,77.77,scattered clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
49,Bubaque,GW,81.93,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
52,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
55,Cape Town,ZA,77.41,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
59,Mbini,GQ,80.87,broken clouds,1.574,9.6134,
61,Yasothon,TH,75.33,light rain,15.75,104.1333,Ban Suan Varaphan
65,Manado,ID,81.37,scattered clouds,1.487,124.8455,Aryaduta Hotel
68,Katsuura,JP,82.11,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
71,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
75,Dusi,IN,87.04,overcast clouds,12.7667,79.6833,Aththi Varadhar Accommodations
76,Port Blair,IN,81.0,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
79,Wenling,CN,78.19,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
80,Nikolskoye,RU,82.29,few clouds,59.7035,30.7861,Tourist House - Sablino
83,La Asuncion,VE,89.33,clear sky,11.0333,-63.8628,Colinas de Matasiete
