City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2021-07-16 01:20:24,-33.9258,18.4232,52.12,87,0,4.61
1,Rikitea,PF,2021-07-16 01:20:24,-23.1203,-134.9692,73.22,74,54,8.37
2,Kalat,PK,2021-07-16 01:20:24,29.0225,66.5916,69.24,78,96,5.26
3,Umm Kaddadah,SD,2021-07-16 01:20:24,13.6017,26.6876,84.63,51,92,13.96
4,Norman Wells,CA,2021-07-16 01:20:24,65.282,-126.8329,51.84,43,75,4.61
5,East London,ZA,2021-07-16 01:20:25,-33.0153,27.9116,54.14,37,0,6.2
6,Okhotsk,RU,2021-07-16 01:20:25,59.3833,143.3,62.6,71,100,9.46
7,Punta Arenas,CL,2021-07-16 01:20:25,-53.15,-70.9167,37.51,93,90,10.36
8,Diebougou,BF,2021-07-16 01:20:25,10.9667,-3.25,77.41,75,100,4.29
9,Cidreira,BR,2021-07-16 01:20:26,-30.1811,-50.2056,56.26,90,25,9.31
10,Kodiak,US,2021-07-16 01:20:26,57.79,-152.4072,78.31,41,1,9.22
11,Meulaboh,ID,2021-07-16 01:20:26,4.1363,96.1285,77.09,88,100,3.85
12,Hofn,IS,2021-07-16 01:20:26,64.2539,-15.2082,51.85,92,42,17.47
13,Pisco,PE,2021-07-16 01:20:26,-13.7,-76.2167,61.02,88,20,13.8
14,Mar Del Plata,AR,2021-07-16 01:15:30,-38.0023,-57.5575,47.12,75,0,1.01
15,Carauari,BR,2021-07-16 01:20:27,-4.8828,-66.8958,77.99,77,98,2.15
16,Riyadh,SA,2021-07-16 01:19:29,24.6877,46.7219,89.74,16,35,2.98
17,Port Elizabeth,ZA,2021-07-16 01:20:27,-33.918,25.5701,43.09,81,0,5.75
18,Khryashchevka,RU,2021-07-16 01:20:27,53.8119,49.0916,62.58,87,7,2.64
19,Koumac,NC,2021-07-16 01:20:27,-20.5667,164.2833,79.92,62,89,4.76
20,Ust-Tsilma,RU,2021-07-16 01:20:28,65.441,52.1498,57.13,79,8,6.11
21,Deputatskiy,RU,2021-07-16 01:20:28,69.3,139.9,58.75,36,5,10.85
22,Kukmor,RU,2021-07-16 01:20:28,56.1855,50.8944,61.12,89,98,3.67
23,Hithadhoo,MV,2021-07-16 01:20:28,-0.6,73.0833,83.43,73,41,13.71
24,Lebu,CL,2021-07-16 01:20:29,-37.6167,-73.65,50.85,74,100,2.33
25,Misratah,LY,2021-07-16 01:20:29,32.3754,15.0925,78.33,77,0,3.67
26,Moftinu Mare,RO,2021-07-16 01:20:29,47.6667,22.6667,70.93,88,18,3.44
27,Tiksi,RU,2021-07-16 01:20:29,71.6872,128.8694,49.14,70,100,22.15
28,Port Shepstone,ZA,2021-07-16 01:20:29,-30.7414,30.455,54.07,41,0,7.0
29,Srednekolymsk,RU,2021-07-16 01:20:30,67.45,153.6833,63.43,31,0,7.56
30,Upernavik,GL,2021-07-16 01:20:30,72.7868,-56.1549,43.48,78,100,9.46
31,Busselton,AU,2021-07-16 01:20:30,-33.65,115.3333,54.09,75,100,9.62
32,Mehamn,NO,2021-07-16 01:20:30,71.0357,27.8492,50.68,88,100,10.29
33,Laredo,US,2021-07-16 01:18:42,27.5064,-99.5075,93.2,51,20,14.97
34,Castro,BR,2021-07-16 01:20:31,-24.7911,-50.0119,60.75,66,100,4.41
35,Mataura,NZ,2021-07-16 01:20:31,-46.1927,168.8643,55.47,83,7,4.0
36,Kavieng,PG,2021-07-16 01:20:31,-2.5744,150.7967,84.45,72,98,10.22
37,Karur,IN,2021-07-16 01:20:31,10.95,78.0833,78.24,74,100,11.92
38,College,US,2021-07-16 01:20:32,64.8569,-147.8028,78.75,37,75,13.8
39,Vila Franca Do Campo,PT,2021-07-16 01:20:32,37.7167,-25.4333,66.61,76,90,2.1
40,Severo-Kurilsk,RU,2021-07-16 01:20:32,50.6789,156.125,56.48,76,28,18.57
41,Khakhea,BW,2021-07-16 01:20:32,-24.6895,23.494,45.18,87,2,10.69
42,Pevek,RU,2021-07-16 01:20:33,69.7008,170.3133,34.23,95,100,12.97
43,Ushuaia,AR,2021-07-16 01:19:24,-54.8,-68.3,33.46,93,90,29.93
44,Cap Malheureux,MU,2021-07-16 01:20:33,-19.9842,57.6142,70.47,75,59,8.01
45,New Norfolk,AU,2021-07-16 01:20:33,-42.7826,147.0587,52.92,88,51,3.02
46,Madaoua,NE,2021-07-16 01:20:33,14.073,5.96,85.84,46,100,5.61
47,Atuona,PF,2021-07-16 01:20:34,-9.8,-139.0333,78.22,68,7,27.56
48,Yamada,JP,2021-07-16 01:20:34,39.4667,141.95,79.63,74,8,3.11
49,Fortuna,US,2021-07-16 01:20:34,40.5982,-124.1573,76.19,87,90,1.99
50,Newport,GB,2021-07-16 01:20:15,51.5877,-2.9984,64.51,86,0,5.21
51,Corinto,GR,2021-07-16 01:20:34,37.9407,22.9573,85.68,71,0,5.53
52,Lesogorsk,RU,2021-07-16 01:20:34,56.0458,99.5136,73.56,53,100,1.12
53,Albany,US,2021-07-16 01:17:50,42.6001,-73.9662,77.79,86,25,3.91
54,Ust-Nera,RU,2021-07-16 01:20:35,64.5667,143.2,71.96,48,100,5.01
55,Hasaki,JP,2021-07-16 01:20:35,35.7333,140.8333,86.29,81,100,7.54
56,Scalea,IT,2021-07-16 01:20:35,39.813,15.7956,70.99,76,3,4.18
57,Jamestown,US,2021-07-16 01:16:50,42.097,-79.2353,74.3,76,75,4.0
58,Sao Joao Da Barra,BR,2021-07-16 01:20:35,-21.6403,-41.0511,72.3,89,63,17.43
59,Asau,RO,2021-07-16 01:20:36,46.4333,26.4,68.4,87,86,3.78
60,Ise,JP,2021-07-16 01:20:36,34.4833,136.7,86.63,88,100,8.68
61,Gizo,SB,2021-07-16 01:20:36,-8.103,156.8419,84.09,76,45,11.25
62,Skerries,IE,2021-07-16 01:20:36,53.5828,-6.1083,66.0,87,100,1.5
63,Tam Ky,VN,2021-07-16 01:16:54,15.5667,108.4833,85.98,69,81,2.82
64,Binga,ZW,2021-07-16 01:20:36,-17.6203,27.3414,59.83,76,13,1.54
65,Kon Tum,VN,2021-07-16 01:20:37,14.35,108.0,72.39,96,100,1.95
66,Thompson,CA,2021-07-16 01:20:37,55.7435,-97.8558,82.56,51,40,8.05
67,Jyvaskyla,FI,2021-07-16 01:20:37,62.2415,25.7209,67.95,86,0,5.75
68,Pitanga,BR,2021-07-16 01:20:37,-24.7572,-51.7614,56.26,96,100,4.21
69,Bingol,TR,2021-07-16 01:20:38,38.8847,40.4939,63.19,68,4,8.08
70,Kitama,TZ,2021-07-16 01:20:38,-10.7167,39.7333,61.75,96,5,4.5
71,Nikolskoye,RU,2021-07-16 01:20:38,59.7035,30.7861,69.69,92,36,4.38
72,San Andres,CO,2021-07-16 01:20:38,12.5847,-81.7006,82.42,78,20,9.22
73,Naze,JP,2021-07-16 01:20:38,28.3667,129.4833,85.12,71,98,15.73
74,Muros,ES,2021-07-16 01:20:39,42.7762,-9.0603,66.09,68,0,10.4
75,Yellowknife,CA,2021-07-16 01:20:39,62.456,-114.3525,45.32,100,90,3.0
76,Vaini,TO,2021-07-16 01:20:39,-21.2,-175.2,75.36,88,75,12.66
77,Ilulissat,GL,2021-07-16 01:20:39,69.2167,-51.1,51.82,54,61,8.05
78,Khatanga,RU,2021-07-16 01:20:39,71.9667,102.5,48.11,92,100,6.46
79,Rocha,UY,2021-07-16 01:20:40,-34.4833,-54.3333,46.15,97,2,5.55
80,Nakamura,JP,2021-07-16 01:20:40,32.9833,132.9333,71.91,97,100,6.82
81,Beloha,MG,2021-07-16 01:20:40,-25.1667,45.05,64.49,81,96,14.29
82,Te Anau,NZ,2021-07-16 01:20:40,-45.4167,167.7167,53.11,86,50,3.33
83,Awjilah,LY,2021-07-16 01:20:41,29.1081,21.2869,79.7,60,0,12.41
84,Kamenka,RU,2021-07-16 01:20:41,51.3223,42.7678,67.75,70,100,4.29
85,Tupik,RU,2021-07-16 01:20:41,54.4253,119.9327,70.11,58,48,5.03
86,Manono,CD,2021-07-16 01:20:41,-7.3,27.4167,74.91,32,65,9.46
87,Gwadar,PK,2021-07-16 01:20:42,25.1216,62.3254,85.42,80,100,9.66
88,Butaritari,KI,2021-07-16 01:20:42,3.0707,172.7902,82.29,80,100,13.4
89,Mga,RU,2021-07-16 01:20:42,59.75,31.0667,69.73,91,71,4.43
90,San Cristobal,VE,2021-07-16 01:20:42,7.7669,-72.225,78.98,94,51,2.82
91,Shepsi,RU,2021-07-16 01:20:42,44.0361,39.1489,73.98,63,0,6.62
92,Clyde River,CA,2021-07-16 01:20:43,70.4692,-68.5914,48.43,71,90,19.57
93,Arinis,RO,2021-07-16 01:20:43,47.5,23.2333,68.18,90,32,2.84
94,Aksu,CN,2021-07-16 01:20:43,41.1231,80.2644,73.36,50,6,6.17
95,Bethel,US,2021-07-16 01:20:43,41.3712,-73.414,79.77,84,59,4.29
96,Kapaa,US,2021-07-16 01:20:44,22.0752,-159.319,86.32,75,40,3.0
97,Bondoukou,CI,2021-07-16 01:20:44,8.0333,-2.8,70.48,97,100,4.5
98,Togur,RU,2021-07-16 01:20:44,58.3631,82.8265,54.23,80,100,9.75
99,Inongo,CD,2021-07-16 01:20:44,-1.95,18.2667,70.18,49,90,4.47
100,Luwuk,ID,2021-07-16 01:20:44,-0.9516,122.7875,77.99,92,100,3.04
101,Hilo,US,2021-07-16 01:18:11,19.7297,-155.09,80.33,78,90,12.66
102,Tefe,BR,2021-07-16 01:20:45,-3.3542,-64.7114,73.27,97,94,1.28
103,Saint-Joseph,RE,2021-07-16 01:20:45,-21.3667,55.6167,68.36,80,24,12.55
104,Cotacachi,EC,2021-07-16 01:20:45,0.3,-78.2667,56.75,86,100,5.08
105,De-Kastri,RU,2021-07-16 01:20:45,51.4667,140.7833,66.24,92,100,5.64
106,Ust-Uda,RU,2021-07-16 01:20:46,54.1742,103.0304,73.96,56,73,1.95
107,Carnarvon,AU,2021-07-16 01:20:46,-24.8667,113.6333,57.27,66,100,10.36
